STA,stationName,country,YR,MO,DA,PRCP,MAX,MIN
33206,Athens,Greece,45,6,15,0,89,68
33206,Athens,Greece,45,6,16,0,84,67
33206,Athens,Greece,45,6,17,0,88,66
33206,Athens,Greece,45,6,18,0,90,69
33206,Athens,Greece,45,6,19,0,85,71
33206,Athens,Greece,45,6,20,0,91,73
33206,Athens,Greece,45,6,21,0,92,73
33206,Athens,Greece,45,6,22,0,94,73
33206,Athens,Greece,45,6,23,0,92,70
33206,Athens,Greece,45,6,24,0,86,70
33206,Athens,Greece,45,6,25,0,88,68
33206,Athens,Greece,45,6,26,0,89,70
33206,Athens,Greece,45,6,27,0,91,68
33206,Athens,Greece,45,6,28,0,98,69
33206,Athens,Greece,45,6,29,0,102,77
33206,Athens,Greece,45,6,30,0,97,76
33206,Athens,Greece,45,7,1,0,91,74
33206,Athens,Greece,45,7,2,0,90,69
33206,Athens,Greece,45,7,3,0,97,77
33206,Athens,Greece,45,7,4,0,87,70
33206,Athens,Greece,45,7,5,0,87,68
33206,Athens,Greece,45,7,6,0,89,69
33206,Athens,Greece,45,7,7,0,91,67
33206,Athens,Greece,45,7,8,0,91,70
33206,Athens,Greece,45,7,9,0,95,73
33206,Athens,Greece,45,7,10,0,94,71
33206,Athens,Greece,45,7,11,0,95,72
33206,Athens,Greece,45,7,12,0,97,71
33206,Athens,Greece,45,7,13,0,94,79
33206,Athens,Greece,45,7,14,0,93,75
33206,Athens,Greece,45,7,15,0,90,74
33206,Athens,Greece,45,7,16,0,92,77
33206,Athens,Greece,45,7,17,0,91,75
33206,Athens,Greece,45,7,18,0,94,74
33206,Athens,Greece,45,7,19,0,95,76
33206,Athens,Greece,45,7,20,0,90,76
33206,Athens,Greece,45,7,21,0,88,77
33206,Athens,Greece,45,7,22,0,90,76
33206,Athens,Greece,45,7,23,0,99,78
33206,Athens,Greece,45,7,24,0,98,79
33206,Athens,Greece,45,7,25,0,93,78
33206,Athens,Greece,45,7,26,0,91,78
33206,Athens,Greece,45,7,27,0,93,74
33206,Athens,Greece,45,7,28,0,95,75
33206,Athens,Greece,45,7,29,0,97,76
33206,Athens,Greece,45,7,30,0,106,80
33206,Athens,Greece,45,7,31,0,99,76
33206,Athens,Greece,45,8,1,0,109,75
33206,Athens,Greece,45,8,2,0,99,75
33206,Athens,Greece,45,8,3,0,92,73
33206,Athens,Greece,45,8,4,0,89,70
33206,Athens,Greece,45,8,5,0,88,70
33206,Athens,Greece,45,8,6,0,92,69
33206,Athens,Greece,45,8,7,0,92,68
33206,Athens,Greece,45,8,8,0,98,70
33206,Athens,Greece,45,8,9,0,102,75
33206,Athens,Greece,45,8,10,0,101,72
33206,Athens,Greece,45,8,11,0,110,71
33206,Athens,Greece,45,8,12,0,104,77
33206,Athens,Greece,45,8,13,0,108,73
33206,Athens,Greece,45,8,14,0,111,80
33206,Athens,Greece,45,8,15,0,107,75
33206,Athens,Greece,45,8,16,0,97,76
33206,Athens,Greece,45,8,17,0,94,74
33206,Athens,Greece,45,8,18,0,101,70
33206,Athens,Greece,45,8,19,0,96,72
33206,Athens,Greece,45,8,20,T,96,75
33206,Athens,Greece,45,8,21,0,104,73
33206,Athens,Greece,45,8,22,0,105,74
33206,Athens,Greece,45,8,23,0,100,75
33206,Athens,Greece,45,8,24,0,97,72
33206,Athens,Greece,45,8,25,0,89,74
33206,Athens,Greece,45,8,26,0.02,85,74
33206,Athens,Greece,45,8,27,0,91,73
33206,Athens,Greece,45,8,28,0,90,76
33206,Athens,Greece,45,8,29,0,87,73
33206,Athens,Greece,45,8,30,0,84,73
33206,Athens,Greece,45,8,31,0,88,70
33206,Athens,Greece,45,9,1,0,89,70
33206,Athens,Greece,45,9,2,0,94,66
33206,Athens,Greece,45,9,3,0,103,71
33206,Athens,Greece,45,9,4,0,95,77
33206,Athens,Greece,45,9,5,0,91,73
33206,Athens,Greece,45,9,6,0,90,71
33206,Athens,Greece,45,9,7,T,91,68
33206,Athens,Greece,45,9,8,T,79,70
33206,Athens,Greece,45,9,9,0,84,65
33206,Athens,Greece,45,9,10,0,84,62
33206,Athens,Greece,45,9,11,T,82,66
33206,Athens,Greece,45,9,12,0.03,86,66
33206,Athens,Greece,45,9,13,0.05,81,64
33206,Athens,Greece,45,9,14,0.16,72,63
33206,Athens,Greece,45,9,15,0,77,61
33206,Athens,Greece,45,9,16,0,83,59
33206,Athens,Greece,45,9,17,0,89,67
33206,Athens,Greece,45,9,18,0,84,69
33206,Athens,Greece,45,9,19,0,88,68
33206,Athens,Greece,45,9,20,0,90,65
33206,Athens,Greece,45,9,21,0,86,66
33206,Athens,Greece,45,9,22,0,85,71
33206,Athens,Greece,45,9,23,0,85,
33206,Athens,Greece,45,9,24,0,84,
33206,Athens,Greece,45,9,25,,82,
33206,Athens,Greece,45,9,26,,81,
33206,Athens,Greece,45,9,27,,84,
33206,Athens,Greece,45,9,28,,80,
33206,Athens,Greece,45,9,29,,80,
33206,Athens,Greece,45,9,30,,78,
33206,Athens,Greece,45,10,1,0,71,61
33206,Athens,Greece,45,10,2,T,71,59
33206,Athens,Greece,45,10,3,T,71,57
33206,Athens,Greece,45,10,4,0.02,,
33206,Athens,Greece,45,10,5,0,,
33206,Athens,Greece,45,10,6,0.04,74,
33206,Athens,Greece,45,10,7,0,73,57
33206,Athens,Greece,45,10,8,0,73,51
33206,Athens,Greece,45,10,9,0.02,62,47
33206,Athens,Greece,45,10,10,0,69,44
33206,Athens,Greece,45,10,11,0,70,48
33206,Athens,Greece,45,10,12,0,75,48
33206,Athens,Greece,45,10,13,0,77,55
33206,Athens,Greece,45,10,14,0,73,54
33206,Athens,Greece,45,10,15,0,77,51
33206,Athens,Greece,45,10,16,0,77,54
33206,Athens,Greece,45,10,17,0,73,54
33206,Athens,Greece,45,10,18,0,72,53
33206,Athens,Greece,45,10,19,0.08,71,56
33206,Athens,Greece,45,10,20,0.03,69,57
33206,Athens,Greece,45,10,21,0,72,56
33206,Athens,Greece,45,10,22,0,73,51
33206,Athens,Greece,45,10,23,0,72,53
33206,Athens,Greece,45,10,24,0,73,53
33206,Athens,Greece,45,10,25,0,70,50
33206,Athens,Greece,45,10,26,0,77,50
33206,Athens,Greece,45,10,27,0,78,57
33206,Athens,Greece,45,10,28,0,76,54
33206,Athens,Greece,45,10,29,0,78,57
33206,Athens,Greece,45,10,30,0,74,55
33206,Athens,Greece,45,10,31,0,77,53
33206,Athens,Greece,45,11,1,0,75,51
33206,Athens,Greece,45,11,2,0,76,51
33206,Athens,Greece,45,11,3,0,76,53
33206,Athens,Greece,45,11,4,0,70,53
33206,Athens,Greece,45,11,5,0,69,54
33206,Athens,Greece,45,11,6,0,67,56
33206,Athens,Greece,45,11,7,T,62,54
33206,Athens,Greece,45,11,8,0.18,59,54
33206,Athens,Greece,45,11,9,0,66,46
33206,Athens,Greece,45,11,10,T,73,58
33206,Athens,Greece,45,11,11,0,74,63
33206,Athens,Greece,45,11,12,0.07,71,60
33206,Athens,Greece,45,11,13,1.42,65,58
33206,Athens,Greece,45,11,14,0.31,69,60
33206,Athens,Greece,45,11,15,0.36,64,56
33206,Athens,Greece,45,11,16,0.69,63,57
33206,Athens,Greece,45,11,17,T,61,58
33206,Athens,Greece,45,11,18,0,57,52
33206,Athens,Greece,45,11,19,0.18,54,48
33206,Athens,Greece,45,11,20,0,55,46
33206,Athens,Greece,45,11,21,T,56,50
33206,Athens,Greece,45,11,22,0.41,58,49
33206,Athens,Greece,45,11,23,0.04,61,54
33206,Athens,Greece,45,11,24,0,59,55
33206,Athens,Greece,45,11,25,0,60,52
33206,Athens,Greece,45,11,26,0,62,50
33206,Athens,Greece,45,11,27,T,64,52
33206,Athens,Greece,45,11,28,0.16,55,50
33206,Athens,Greece,45,11,29,T,48,45
33206,Athens,Greece,45,11,30,0.02,52,43
33206,Athens,Greece,45,12,5,,61,53
33206,Athens,Greece,45,12,6,0,62,45
33206,Athens,Greece,45,12,7,,60,54
33206,Athens,Greece,45,12,8,0.01,61,55
33206,Athens,Greece,45,12,9,0.18,59,44
33206,Athens,Greece,45,12,10,0.36,56,46
33206,Athens,Greece,45,12,11,0.15,59,48
33206,Athens,Greece,45,12,12,0.08,58,46
33206,Athens,Greece,45,12,13,0.11,44,39
33206,Athens,Greece,45,12,14,0,54,31
33206,Athens,Greece,45,12,15,0,51,40
33206,Athens,Greece,45,12,16,0,55,40
33206,Athens,Greece,45,12,17,0,58,42
33206,Athens,Greece,45,12,18,0.05,60,44
33206,Athens,Greece,45,12,19,0,61,43
33206,Athens,Greece,45,12,20,0,62,44
33206,Athens,Greece,45,12,21,0.15,59,55
33206,Athens,Greece,45,12,22,0,61,46
33206,Athens,Greece,45,12,23,0,60,57
33206,Athens,Greece,45,12,24,0,64,57
33206,Athens,Greece,45,12,25,0.03,63,53
33206,Athens,Greece,45,12,26,0.8,59,52
33206,Athens,Greece,45,12,27,0.4,55,53
33206,Athens,Greece,45,12,28,0,61,48
33206,Athens,Greece,45,12,29,0,60,45
33206,Athens,Greece,45,12,30,0.01,62,46
33206,Athens,Greece,45,12,31,0.01,58,47
33014,Decimomanno,Italy,43,11,11,0,63,46
33014,Decimomanno,Italy,43,11,12,0,63,41
33014,Decimomanno,Italy,43,11,13,T,62,51
33014,Decimomanno,Italy,43,11,14,0.51,66,56
33014,Decimomanno,Italy,43,11,15,0.74,59,44
33014,Decimomanno,Italy,43,11,16,,56,43
33014,Decimomanno,Italy,43,11,17,0.06,57,47
33014,Decimomanno,Italy,43,11,18,0.48,57,42
33014,Decimomanno,Italy,43,11,19,1.2,63,43
33014,Decimomanno,Italy,43,11,20,0.04,60,46
33014,Decimomanno,Italy,43,11,21,0,61,43
33014,Decimomanno,Italy,43,11,22,0.15,62,42
33014,Decimomanno,Italy,43,11,23,,58,51
33014,Decimomanno,Italy,43,11,24,0.43,60,47
33014,Decimomanno,Italy,43,11,25,0.08,61,51
33014,Decimomanno,Italy,43,11,26,T,60,47
33014,Decimomanno,Italy,43,11,27,T,60,48
33014,Decimomanno,Italy,43,11,28,0,61,44
33014,Decimomanno,Italy,43,11,29,0,62,47
33014,Decimomanno,Italy,43,11,30,T,60,50
33014,Decimomanno,Italy,43,12,1,0,57,46
33014,Decimomanno,Italy,43,12,2,0,56,42
33014,Decimomanno,Italy,43,12,3,T,61,43
33014,Decimomanno,Italy,43,12,4,0,62,48
33014,Decimomanno,Italy,43,12,5,0,65,57
33014,Decimomanno,Italy,43,12,6,T,64,51
33014,Decimomanno,Italy,43,12,7,0,65,46
33014,Decimomanno,Italy,43,12,8,0,62,41
33014,Decimomanno,Italy,43,12,9,0,64,45
33014,Decimomanno,Italy,43,12,10,T,57,44
33014,Decimomanno,Italy,43,12,11,T,53,47
33014,Decimomanno,Italy,43,12,12,0.58,56,39
33014,Decimomanno,Italy,43,12,13,0.05,59,46
33014,Decimomanno,Italy,43,12,14,0.7,61,56
33014,Decimomanno,Italy,43,12,15,0.31,62,56
33014,Decimomanno,Italy,43,12,16,0.02,63,59
33014,Decimomanno,Italy,43,12,17,T,62,53
33014,Decimomanno,Italy,43,12,18,T,59,49
33014,Decimomanno,Italy,43,12,19,0,66,50
33014,Decimomanno,Italy,43,12,20,T,59,49
33014,Decimomanno,Italy,43,12,21,0.4,57,48
33014,Decimomanno,Italy,43,12,22,0.24,59,47
33014,Decimomanno,Italy,43,12,23,0.05,56,39
33014,Decimomanno,Italy,43,12,24,0,62,35
33014,Decimomanno,Italy,43,12,25,0,60,42
33014,Decimomanno,Italy,43,12,26,0,59,41
33014,Decimomanno,Italy,43,12,27,0,57,36
33014,Decimomanno,Italy,43,12,28,0,56,32
33014,Decimomanno,Italy,43,12,29,0,56,32
33014,Decimomanno,Italy,43,12,30,0,57,31
33014,Decimomanno,Italy,43,12,31,0.08,49,36
33014,Decimomanno,Italy,44,1,1,0,48,39
33014,Decimomanno,Italy,44,1,2,0,53,33
33014,Decimomanno,Italy,44,1,3,0,55,29
33014,Decimomanno,Italy,44,1,4,T,56,48
33014,Decimomanno,Italy,44,1,5,T,53,36
33014,Decimomanno,Italy,44,1,6,0,47,31
33014,Decimomanno,Italy,44,1,7,0,52,27
33014,Decimomanno,Italy,44,1,8,T,52,32
33014,Decimomanno,Italy,44,1,9,0,58,34
33014,Decimomanno,Italy,44,1,10,0,57,37
33014,Decimomanno,Italy,44,1,11,T,55,43
33014,Decimomanno,Italy,44,1,12,T,61,46
33014,Decimomanno,Italy,44,1,13,0,61,42
33014,Decimomanno,Italy,44,1,14,0,61,36
33014,Decimomanno,Italy,44,1,15,0,60,40
33014,Decimomanno,Italy,44,1,16,0.01,61,35
33014,Decimomanno,Italy,44,1,17,0,56,32
33014,Decimomanno,Italy,44,1,18,0,56,33
33014,Decimomanno,Italy,44,1,19,0,58,30
33014,Decimomanno,Italy,44,1,20,0,55,36
33014,Decimomanno,Italy,44,1,21,0,60,43
33014,Decimomanno,Italy,44,1,22,0,57,40
33014,Decimomanno,Italy,44,1,23,0,57,39
33014,Decimomanno,Italy,44,1,24,0,58,40
33014,Decimomanno,Italy,44,1,25,0,60,37
33014,Decimomanno,Italy,44,1,26,T,57,45
33014,Decimomanno,Italy,44,1,27,0,57,37
33014,Decimomanno,Italy,44,1,28,0,61,42
33014,Decimomanno,Italy,44,1,29,0,62,38
33014,Decimomanno,Italy,44,1,30,0,57,34
33014,Decimomanno,Italy,44,1,31,0,60,46
33014,Decimomanno,Italy,44,2,1,0,55,45
33014,Decimomanno,Italy,44,2,2,0,58,46
33014,Decimomanno,Italy,44,2,3,0,61,48
33014,Decimomanno,Italy,44,2,4,0.04,58,50
33014,Decimomanno,Italy,44,2,5,0.04,51,41
33014,Decimomanno,Italy,44,2,6,0.02,50,34
33014,Decimomanno,Italy,44,2,7,0,58,33
33014,Decimomanno,Italy,44,2,8,0.01,54,32
33014,Decimomanno,Italy,44,2,9,0.01,53,37
33014,Decimomanno,Italy,44,2,10,0.05,55,35
33014,Decimomanno,Italy,44,2,11,0.33,52,35
33014,Decimomanno,Italy,44,2,12,0.08,45,31
33014,Decimomanno,Italy,44,2,13,0.03,48,35
33014,Decimomanno,Italy,44,2,14,0.04,48,33
33014,Decimomanno,Italy,44,2,15,0,52,31
33014,Decimomanno,Italy,44,2,16,0,47,31
33014,Decimomanno,Italy,44,2,17,0,54,30
33014,Decimomanno,Italy,44,2,18,0.2,48,40
33014,Decimomanno,Italy,44,2,19,0.01,53,34
33014,Decimomanno,Italy,44,2,20,0,55,34
33014,Decimomanno,Italy,44,2,21,0,52,31
33014,Decimomanno,Italy,44,2,22,0.01,53,38
33014,Decimomanno,Italy,44,2,23,0.03,55,39
33014,Decimomanno,Italy,44,2,24,T,64,53
33014,Decimomanno,Italy,44,2,25,0.22,56,45
33014,Decimomanno,Italy,44,2,26,0.08,62,44
33014,Decimomanno,Italy,44,2,27,0.08,58,44
33014,Decimomanno,Italy,44,2,28,0.15,59,41
33014,Decimomanno,Italy,44,2,29,0.26,60,42
33014,Decimomanno,Italy,44,3,1,0.03,53,39
33014,Decimomanno,Italy,44,3,2,0,56,43
33014,Decimomanno,Italy,44,3,3,T,60,40
33014,Decimomanno,Italy,44,3,4,0.02,59,46
33014,Decimomanno,Italy,44,3,5,0.33,46,35
33014,Decimomanno,Italy,44,3,6,0.1,42,34
33014,Decimomanno,Italy,44,3,7,0,48,30
33014,Decimomanno,Italy,44,3,8,T,55,32
33014,Decimomanno,Italy,44,3,9,0.07,56,34
33014,Decimomanno,Italy,44,3,10,0,57,33
33014,Decimomanno,Italy,44,3,11,0.02,57,36
33014,Decimomanno,Italy,44,3,12,0.09,56,37
33014,Decimomanno,Italy,44,3,13,T,59,32
33014,Decimomanno,Italy,44,3,14,T,58,48
33014,Decimomanno,Italy,44,3,15,0.01,56,47
33014,Decimomanno,Italy,44,3,16,0,60,35
33014,Decimomanno,Italy,44,3,17,0.03,59,33
33014,Decimomanno,Italy,44,3,18,0.21,58,39
33014,Decimomanno,Italy,44,3,19,0,64,32
33014,Decimomanno,Italy,44,3,20,0,61,34
33014,Decimomanno,Italy,44,3,21,0,59,49
33014,Decimomanno,Italy,44,3,22,0,60,43
33014,Decimomanno,Italy,44,3,23,0,65,40
33014,Decimomanno,Italy,44,3,24,0,60,35
33014,Decimomanno,Italy,44,3,25,T,60,33
33014,Decimomanno,Italy,44,3,26,0,59,33
33014,Decimomanno,Italy,44,3,27,0,67,37
33014,Decimomanno,Italy,44,3,28,0,62,35
33014,Decimomanno,Italy,44,3,29,0,58,34
33014,Decimomanno,Italy,44,3,30,0.17,60,47
33014,Decimomanno,Italy,44,3,31,0,67,46
33014,Decimomanno,Italy,44,4,1,0,65,47
33014,Decimomanno,Italy,44,4,2,0,62,41
33014,Decimomanno,Italy,44,4,3,0,70,46
33014,Decimomanno,Italy,44,4,4,0,77,50
33014,Decimomanno,Italy,44,4,5,T,70,49
33014,Decimomanno,Italy,44,4,6,0,75,45
33014,Decimomanno,Italy,44,4,7,0,70,48
33014,Decimomanno,Italy,44,4,8,T,61,56
33014,Decimomanno,Italy,44,4,9,T,68,56
33014,Decimomanno,Italy,44,4,10,T,71,52
33014,Decimomanno,Italy,44,4,11,0,73,47
33014,Decimomanno,Italy,44,4,12,0,68,39
33014,Decimomanno,Italy,44,4,13,0.2,69,46
33014,Decimomanno,Italy,44,4,14,0,74,43
33014,Decimomanno,Italy,44,4,15,0,66,51
33014,Decimomanno,Italy,44,4,16,0,67,58
33014,Decimomanno,Italy,44,4,17,0,70,51
33014,Decimomanno,Italy,44,4,18,0.54,66,51
33014,Decimomanno,Italy,44,4,19,T,66,49
33014,Decimomanno,Italy,44,4,20,0,68,47
33014,Decimomanno,Italy,44,4,21,0,70,46
33014,Decimomanno,Italy,44,4,22,0.43,64,47
33014,Decimomanno,Italy,44,4,23,0.17,71,52
33014,Decimomanno,Italy,44,4,24,0.16,70,50
33014,Decimomanno,Italy,44,4,25,T,76,53
33014,Decimomanno,Italy,44,4,26,1.11,54,47
33014,Decimomanno,Italy,44,4,27,T,66,50
33014,Decimomanno,Italy,44,4,28,0,68,45
33014,Decimomanno,Italy,44,4,29,0,71,41
33014,Decimomanno,Italy,44,4,30,0,72,42
33014,Decimomanno,Italy,44,5,1,0,70,40
33014,Decimomanno,Italy,44,5,2,0,75,43
33014,Decimomanno,Italy,44,5,3,0,82,46
33014,Decimomanno,Italy,44,5,4,0,84,44
33014,Decimomanno,Italy,44,5,5,0,90,41
33014,Decimomanno,Italy,44,5,6,0,86,57
33014,Decimomanno,Italy,44,5,7,0,85,56
33014,Decimomanno,Italy,44,5,8,0,88,61
33014,Decimomanno,Italy,44,5,9,0,90,58
33014,Decimomanno,Italy,44,5,10,0,73,61
33014,Decimomanno,Italy,44,5,11,0,82,48
33014,Decimomanno,Italy,44,5,12,0,91,51
33014,Decimomanno,Italy,44,5,13,0,75,50
33014,Decimomanno,Italy,44,5,14,0,77,49
33014,Decimomanno,Italy,44,5,15,0,85,50
33014,Decimomanno,Italy,44,5,16,0,82,56
33014,Decimomanno,Italy,44,5,17,0,78,56
33014,Decimomanno,Italy,44,5,18,0,80,50
33014,Decimomanno,Italy,44,5,19,0.63,73,62
33014,Decimomanno,Italy,44,5,20,T,74,56
33014,Decimomanno,Italy,44,5,21,T,76,57
33014,Decimomanno,Italy,44,5,22,0,72,56
33014,Decimomanno,Italy,44,5,23,0,70,47
33014,Decimomanno,Italy,44,5,24,0.37,68,45
33014,Decimomanno,Italy,44,5,25,0.02,72,53
33014,Decimomanno,Italy,44,5,26,0,78,51
33014,Decimomanno,Italy,44,5,27,0,79,46
33014,Decimomanno,Italy,44,5,28,0,81,50
33014,Decimomanno,Italy,44,5,29,0,78,50
